Name,Age,Team,League,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Cole Ragans ,25,TEX,AL,2,3,0.4,5.92,17,0,1,0,0,0,24.1,20,17,16,4,14,1,24,1,0,2,106,75,5.3,1.397,7.4,1.5,5.2,8.9,1.71
Cole Ragans ,25,KCR,AL,0,0,0.0,1.8,1,1,0,0,0,0,5.0,4,1,1,0,2,0,3,0,0,0,20,261,3.29,1.2,7.2,0.0,3.6,5.4,1.5
Brooks Raley ,35,NYM,NL,0,1,0.0,2.08,42,0,3,0,0,1,34.2,27,8,8,3,15,1,38,5,0,0,149,200,3.95,1.212,7.0,0.8,3.9,9.9,2.53
Luke Raley,28,TBR,AL,0,0,0.0,30.38,2,0,1,0,0,0,2.2,11,9,9,2,0,0,1,0,0,0,19,15,12.29,4.125,37.1,6.8,0.0,3.4,0.0
Erasmo Ramírez,33,WSN,NL,2,3,0.4,6.33,23,0,5,0,0,0,27.0,36,20,19,4,6,0,13,3,1,0,126,66,5.25,1.556,12.0,1.3,2.0,4.3,2.17
Nick Ramirez ,33,NYY,AL,0,2,0.0,3.33,21,0,7,0,0,0,24.1,26,11,9,1,8,0,20,0,1,0,107,129,3.17,1.397,9.6,0.4,3.0,7.4,2.5
Yohan Ramirez,28,PIT,NL,1,0,1.0,4.25,23,0,7,0,0,0,29.2,31,17,14,3,13,1,25,7,0,2,136,106,4.94,1.483,9.4,0.9,3.9,7.6,1.92
Drew Rasmussen,27,TBR,AL,4,2,0.667,2.62,8,8,0,0,0,0,44.2,36,13,13,2,11,0,47,1,0,2,177,158,2.57,1.052,7.3,0.4,2.2,9.5,4.27
Robbie Ray ,31,SEA,AL,0,1,0.0,8.1,1,1,0,0,0,0,3.1,4,5,3,0,5,0,3,0,0,1,19,56,5.99,2.7,10.8,0.0,13.5,8.1,0.6
Colin Rea,32,MIL,NL,5,4,0.556,4.64,17,16,0,0,0,0,85.1,77,46,44,14,26,0,70,3,1,2,359,94,4.8,1.207,8.1,1.5,2.7,7.4,2.69
